"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"234301"	14.8982044564669	-1.85970208424402	0.67187873093404	-2.76791331325324	0.00564164594580958	0.0353889686622439	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Methylophaga"	NA	NA
"712180"	5.80667180252891	1.51581320693558	0.560775549077983	2.703065797765	0.00687031447849127	0.0415094042624112	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"1131479"	15.411133027676	1.56872174987953	0.497265974253314	3.15469352640727	0.00160666781656601	0.015003307944505	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"3664781"	72.1475056103528	1.95851451975114	0.474298927467048	4.12928304563204	3.63896197817406e-05	0.00103536324012573	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"540617"	12.4399901175467	-2.37373500687127	0.47041207423981	-5.04607584893998	4.50976435969343e-07	4.57177361963921e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"808031"	13.4062524704717	-2.06139046850684	0.487611596698821	-4.22752551920968	2.36275384491075e-05	0.000798413903426092	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"809775"	148.517821607706	1.83820408706936	0.436885747633588	4.20751671810326	2.58192307411487e-05	0.0008053613896566	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"31197"	1.45312054538733	-1.72407150482268	0.602215379836219	-2.86288189001678	0.00419807020081541	0.0283719577738441	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA	NA
"328931"	10.9873763900902	-1.87440150071765	0.563569905665499	-3.32594320930647	0.000881198807284918	0.0102093176101153	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA	NA
"543958"	172.02038119998	-2.12213892141497	0.60336631181018	-3.51716507845502	0.000436182420919917	0.00589573238943422	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA	NA
